type,country,rating,listed_in,Value
Movie,United States,TV-PG,Documentaries,1
Movie,United States,TV-G,Documentaries,1
Movie,United States,TV-14,Documentaries,1
Movie,United States,TV-G,Documentaries,1
Movie,United States,TV-PG,Documentaries,1
Movie,United States,TV-PG,Documentaries,1
Movie,United States,TV-14,Documentaries,1
Movie,United States,TV-PG,Documentaries,1
Movie,United States,TV-PG,Documentaries,1
Movie,United States,TV-PG,Documentaries,1
Movie,United States,TV-PG,Documentaries,1
Movie,United States,TV-G,Documentaries,1
Movie,United States,TV-PG,Documentaries,1
Movie,United States,TV-PG,Documentaries,1
Movie,United States,TV-PG,Documentaries,1
Movie,United States,TV-G,Movies,1
Movie,United States,PG-13,Dramas,1
Movie,United States,R,Action & Adventure,1
Movie,United States,TV-14,Documentaries,1
TV Show,United States,TV-PG,Docuseries,1
TV Show,France,TV-Y,Kids' TV,1
Movie,United States,TV-MA,Dramas,1
Movie,United States,TV-MA,Documentaries,1
TV Show,United States,TV-PG,Docuseries,1
Movie,United Kingdom,TV-MA,Action & Adventure,1
Movie,United States,R,Dramas,1
TV Show,United States,TV-Y,Kids' TV,1
Movie,United States,R,Thrillers,1
TV Show,Canada,TV-14,Docuseries,1
TV Show,United States,TV-14,TV Comedies,1
Movie,United States,R,Action & Adventure,1
Movie,United States,TV-14,Documentaries,1
Movie,United States,R,Action & Adventure,1
TV Show,United States,TV-14,Reality TV,1
Movie,United States,TV-PG,Movies,1
Movie,Canada,TV-MA,Documentaries,1
Movie,United States,R,Thrillers,1
Movie,United States,TV-MA,Documentaries,1
Movie,United States,TV-MA,Romantic Movies,1
TV Show,United States,TV-14,TV Shows,1
Movie,United States,TV-14,Dramas,1
TV Show,United States,TV-14,TV Comedies,1
TV Show,United States,TV-Y7,Kids' TV,1
TV Show,United States,TV-Y7,Kids' TV,1
TV Show,United States,TV-Y7,Kids' TV,1
TV Show,United States,TV-Y7,Kids' TV,1
TV Show,United States,TV-Y7,Kids' TV,1
TV Show,United States,TV-Y7,Kids' TV,1
Movie,United States,TV-Y7,Movies,1
Movie,United States,TV-Y7,Children & Family Movies,1
Movie,United States,TV-Y7,Movies,1
Movie,United States,TV-Y7,Movies,1
Movie,United States,TV-Y7,Movies,1
TV Show,United States,TV-Y7,Kids' TV,1
TV Show,United States,TV-Y7,Kids' TV,1
Movie,United States,TV-Y7,Children & Family Movies,1
Movie,United States,TV-Y7,Children & Family Movies,1
Movie,United States,NR,Documentaries,1
Movie,Canada,TV-MA,Documentaries,1
Movie,United Kingdom,R,Action & Adventure,1
Movie,United States,PG,Children & Family Movies,1
Movie,United States,NR,Documentaries,1
Movie,United States,NR,Documentaries,1
Movie,Canada,TV-MA,Dramas,1
Movie,Australia,TV-MA,Horror Movies,1
Movie,United States,TV-MA,Documentaries,1
Movie,United States,TV-MA,Documentaries,1
Movie,United States,R,Dramas,1
Movie,United States,TV-14,Thrillers,1
Movie,United States,NR,Stand-Up Comedy,1
Movie,United States,PG-13,Action & Adventure,1
TV Show,United States,TV-G,Reality TV,1
Movie,United States,R,Dramas,1
Movie,United States,PG,Children & Family Movies,1
Movie,United States,TV-PG,Children & Family Movies,1
Movie,United States,R,Horror Movies,1
Movie,United States,R,Horror Movies,1
Movie,United States,TV-MA,Action & Adventure,1
Movie,United Kingdom,TV-14,Documentaries,1
Movie,United States,TV-PG,Documentaries,1
Movie,United Kingdom,TV-PG,Documentaries,1
TV Show,Canada,TV-MA,TV Comedies,1
Movie,United States,R,Action & Adventure,1
Movie,United States,TV-MA,Dramas,1
Movie,United States,PG-13,Horror Movies,1
Movie,United States,TV-PG,Documentaries,1
Movie,United States,TV-Y,Movies,1
Movie,Australia,TV-Y,Movies,1
Movie,Australia,TV-Y,Movies,1
TV Show,United States,TV-Y,Kids' TV,1
Movie,United States,TV-PG,Documentaries,1
Movie,United States,TV-MA,Horror Movies,1
TV Show,United States,TV-14,Reality TV,1
TV Show,United States,TV-14,Reality TV,1
Movie,United States,R,Thrillers,1
TV Show,United States,TV-MA,Reality TV,1
Movie,United States,PG-13,Comedies,1
Movie,United States,TV-MA,Documentaries,1
Movie,United Kingdom,NR,Documentaries,1
TV Show,United States,TV-Y,Kids' TV,1
Movie,United Kingdom,TV-14,Documentaries,1
TV Show,United States,TV-Y,Kids' TV,1
Movie,United States,TV-14,Thrillers,1
Movie,Canada,R,Action & Adventure,1
Movie,United States,R,Comedies,1
Movie,United States,R,Horror Movies,1
Movie,United States,TV-PG,Documentaries,1
TV Show,India,TV-Y,Kids' TV,1
Movie,India,TV-Y7,Children & Family Movies,1
Movie,United States,PG-13,Comedies,1
Movie,United States,TV-MA,Documentaries,1
Movie,United States,TV-G,Documentaries,1
TV Show,United States,TV-PG,Kids' TV,1
Movie,United States,G,Children & Family Movies,1
Movie,United States,G,Children & Family Movies,1
Movie,United States,TV-Y7,Children & Family Movies,1
Movie,United States,TV-14,Documentaries,1
TV Show,India,TV-MA,TV Shows,1
TV Show,United States,TV-14,TV Comedies,1
TV Show,United States,TV-MA,Docuseries,1
Movie,Canada,TV-Y7,Children & Family Movies,1
Movie,United States,PG,Children & Family Movies,1
Movie,United States,R,Horror Movies,1
Movie,United States,TV-MA,Documentaries,1
Movie,United States,TV-14,Dramas,1
Movie,United Kingdom,TV-MA,Comedies,1
Movie,United States,TV-MA,Documentaries,1
Movie,United States,TV-MA,Documentaries,1
Movie,United States,TV-MA,Horror Movies,1
Movie,United States,TV-14,Documentaries,1
Movie,Australia,TV-MA,Dramas,1
TV Show,Japan,TV-14,Anime Series,1
Movie,United States,TV-14,Documentaries,1
Movie,United States,R,Dramas,1
TV Show,United States,TV-PG,Docuseries,1
Movie,United States,R,Horror Movies,1
Movie,United States,PG,Comedies,1
Movie,United States,TV-MA,Documentaries,1
Movie,United Kingdom,TV-MA,Horror Movies,1
TV Show,United States,TV-14,TV Dramas,1
Movie,United States,R,Comedies,1
TV Show,United States,TV-MA,TV Comedies,1
Movie,United States,R,Horror Movies,1
Movie,Canada,TV-MA,Documentaries,1
Movie,United States,PG-13,Dramas,1
Movie,Canada,TV-MA,Horror Movies,1
Movie,United States,R,Action & Adventure,1
Movie,United States,TV-14,Documentaries,1
Movie,Denmark,TV-G,Children & Family Movies,1
Movie,United States,R,Dramas,1
Movie,United Kingdom,TV-PG,Documentaries,1
Movie,United States,TV-14,Documentaries,1
Movie,United States,TV-MA,Documentaries,1
Movie,United States,TV-14,Documentaries,1
TV Show,United States,TV-PG,Docuseries,1
Movie,New Zealand,TV-MA,Dramas,1
TV Show,United States,TV-MA,Docuseries,1
TV Show,United States,TV-14,Docuseries,1
Movie,United States,PG,Children & Family Movies,1
TV Show,United States,TV-14,TV Comedies,1
Movie,United States,R,Action & Adventure,1
Movie,United States,G,Children & Family Movies,1
Movie,United States,G,Children & Family Movies,1
Movie,United States,G,Children & Family Movies,1
Movie,United States,TV-14,Documentaries,1
Movie,United States,PG-13,Dramas,1
TV Show,United States,TV-14,Reality TV,1
Movie,United States,PG-13,Action & Adventure,1
Movie,United States,PG-13,Thrillers,1
Movie,United States,PG-13,Dramas,1
Movie,United States,TV-G,Documentaries,1
Movie,United States,R,Documentaries,1
TV Show,United States,TV-PG,Docuseries,1
Movie,United States,TV-MA,Dramas,1
Movie,United States,PG-13,Dramas,1
TV Show,United States,TV-14,Docuseries,1
TV Show,United States,TV-14,Docuseries,1
Movie,United States,TV-14,Thrillers,1
Movie,United States,R,Horror Movies,1
Movie,United States,TV-14,Documentaries,1
Movie,United Kingdom,TV-G,Documentaries,1
Movie,United States,R,Thrillers,1
Movie,United Kingdom,TV-MA,Comedies,1
Movie,United States,R,Thrillers,1
Movie,United States,PG-13,Documentaries,1
TV Show,United States,TV-MA,Docuseries,1
TV Show,United States,TV-14,Docuseries,1
TV Show,United States,TV-14,TV Dramas,1
Movie,United Kingdom,TV-PG,Documentaries,1
Movie,Canada,TV-14,Thrillers,1
Movie,Canada,TV-PG,Documentaries,1
Movie,United States,TV-14,Documentaries,1
Movie,United States,G,Children & Family Movies,1
TV Show,United States,TV-MA,Reality TV,1
Movie,United States,NR,Comedies,1
Movie,United States,PG-13,Action & Adventure,1
Movie,Canada,TV-PG,Documentaries,1
Movie,United Kingdom,R,Dramas,1
Movie,United States,TV-MA,Action & Adventure,1
Movie,United States,R,Dramas,1
Movie,United States,R,Horror Movies,1
Movie,United Kingdom,TV-MA,Thrillers,1
Movie,United States,TV-MA,Documentaries,1
Movie,United States,R,Action & Adventure,1
TV Show,United States,TV-G,Kids' TV,1
Movie,United States,PG-13,Action & Adventure,1
Movie,United States,TV-14,Documentaries,1
Movie,United States,PG-13,Dramas,1
Movie,United States,TV-PG,Documentaries,1
Movie,United Kingdom,TV-MA,Dramas,1
Movie,United States,R,Dramas,1
Movie,United Kingdom,TV-PG,Documentaries,1
Movie,United States,PG,Documentaries,1
Movie,United States,TV-14,Thrillers,1
Movie,United States,TV-Y7,Children & Family Movies,1
Movie,United Kingdom,TV-14,Documentaries,1
TV Show,United States,TV-PG,TV Dramas,1
Movie,United States,R,Comedies,1
Movie,United Kingdom,TV-14,Documentaries,1
Movie,United States,TV-PG,Documentaries,1
TV Show,United States,TV-G,Reality TV,1
Movie,United States,TV-PG,Documentaries,1
Movie,United States,PG-13,Action & Adventure,1
Movie,United States,PG-13,Action & Adventure,1
Movie,United Kingdom,TV-G,Children & Family Movies,1
